dataset,1.0,3.0,5.0,7.0,9.0
7z,22.0,33.0,30.0,44.0,54.0
A2C_Acrobot,34.0,36.0,39.0,61.0,93.0
A2C_CartPole,6.0,8.0,29.0,81.0,90.0
Apache_AllMeasurements,47.0,74.0,54.0,55.0,64.0
BDBC,85.0,17.0,0.0,17.0,20.0
BankChurners,3.0,10.0,26.0,71.0,52.0
Car_price_cleaned,54.0,58.0,50.0,53.0,62.0
Data_COVID19_Indonesia,34.0,46.0,45.0,34.0,17.0
FFM-1000-200-0.50-SAT-1,4.0,14.0,33.0,39.0,72.0
FFM-125-25-0.50-SAT-1,1.0,6.0,48.0,57.0,86.0
FFM-250-50-0.50-SAT-1,0.0,5.0,30.0,48.0,84.0
FFM-500-100-0.50-SAT-1,3.0,14.0,37.0,45.0,59.0
FM-500-100-0.25-SAT-1,1.0,23.0,44.0,51.0,54.0
FM-500-100-0.50-SAT-1,4.0,14.0,51.0,48.0,68.0
FM-500-100-0.75-SAT-1,6.0,9.0,22.0,42.0,64.0
FM-500-100-1.00-SAT-1,1.0,24.0,26.0,40.0,66.0
HSMGP_num,82.0,53.0,15.0,2.0,15.0
HSQLDB,77.0,46.0,50.0,42.0,1.0
Health-ClosedIssues0000,29.0,19.0,36.0,42.0,40.0
Health-ClosedIssues0001,0.0,1.0,15.0,54.0,98.0
Health-ClosedIssues0002,38.0,45.0,50.0,41.0,35.0
Health-ClosedIssues0003,25.0,29.0,50.0,37.0,33.0
Health-ClosedIssues0004,17.0,25.0,17.0,35.0,64.0
Health-ClosedIssues0005,24.0,41.0,25.0,23.0,37.0
Health-ClosedIssues0006,1.0,13.0,43.0,51.0,64.0
Health-ClosedIssues0007,26.0,21.0,33.0,57.0,58.0
Health-ClosedIssues0008,5.0,14.0,37.0,56.0,75.0
Health-ClosedIssues0009,40.0,49.0,38.0,36.0,27.0
Health-ClosedIssues0010,25.0,29.0,31.0,33.0,42.0
Health-ClosedIssues0011,1.0,14.0,26.0,43.0,91.0
Health-ClosedPRs0000,100.0,100.0,100.0,100.0,100.0
Health-ClosedPRs0002,68.0,22.0,63.0,47.0,53.0
Health-ClosedPRs0003,16.0,30.0,44.0,34.0,50.0
Health-ClosedPRs0004,19.0,27.0,16.0,38.0,65.0
Health-ClosedPRs0005,38.0,23.0,28.0,26.0,28.0
Health-ClosedPRs0006,25.0,28.0,29.0,32.0,42.0
Health-ClosedPRs0007,5.0,8.0,42.0,35.0,54.0
Health-ClosedPRs0008,24.0,24.0,40.0,34.0,43.0
Health-ClosedPRs0009,35.0,31.0,40.0,33.0,40.0
Health-ClosedPRs0010,34.0,24.0,26.0,37.0,48.0
Health-ClosedPRs0011,34.0,55.0,63.0,53.0,42.0
Health-Commits0000,56.0,62.0,53.0,28.0,9.0
Health-Commits0001,21.0,32.0,47.0,56.0,47.0
Health-Commits0002,38.0,39.0,34.0,42.0,36.0
Health-Commits0003,6.0,18.0,29.0,45.0,68.0
Health-Commits0004,30.0,46.0,29.0,22.0,30.0
Health-Commits0005,9.0,28.0,22.0,47.0,76.0
Health-Commits0006,24.0,43.0,73.0,64.0,30.0
Health-Commits0007,20.0,27.0,21.0,58.0,59.0
Health-Commits0008,4.0,25.0,33.0,44.0,70.0
Health-Commits0009,12.0,21.0,43.0,51.0,60.0
Health-Commits0010,11.0,4.0,18.0,40.0,85.0
Health-Commits0011,2.0,7.0,13.0,22.0,83.0
LLVM,27.0,42.0,36.0,26.0,11.0
Life_Expectancy_Data,5.0,19.0,26.0,33.0,63.0
Loan,6.0,9.0,17.0,32.0,66.0
Marketing_Analytics,4.0,14.0,32.0,46.0,66.0
Medical_Data_and_Hospital_Readmissions,0.0,0.0,12.0,70.0,97.0
PostgreSQL,0.0,1.0,11.0,64.0,100.0
SQL_AllMeasurements,0.0,4.0,19.0,81.0,91.0
SS-A,25.0,26.0,11.0,33.0,66.0
SS-B,67.0,67.0,43.0,41.0,64.0
SS-C,20.0,9.0,16.0,57.0,57.0
SS-D,61.0,63.0,55.0,63.0,72.0
SS-E,39.0,30.0,43.0,37.0,25.0
SS-F,74.0,61.0,50.0,55.0,70.0
SS-G,59.0,52.0,50.0,57.0,67.0
SS-H,59.0,36.0,56.0,44.0,35.0
SS-I,21.0,13.0,29.0,9.0,53.0
SS-J,69.0,57.0,8.0,1.0,8.0
SS-K,4.0,5.0,25.0,39.0,92.0
SS-L,13.0,35.0,73.0,36.0,7.0
SS-M,47.0,22.0,25.0,32.0,38.0
SS-N,6.0,32.0,39.0,33.0,55.0
SS-O,3.0,9.0,23.0,72.0,92.0
SS-P,32.0,23.0,19.0,36.0,45.0
SS-Q,22.0,47.0,13.0,34.0,19.0
SS-R,44.0,15.0,6.0,15.0,52.0
SS-S,9.0,3.0,21.0,46.0,77.0
SS-T,20.0,17.0,20.0,19.0,67.0
SS-U,32.0,51.0,32.0,21.0,30.0
SS-V,32.0,23.0,34.0,28.0,15.0
SS-W,0.0,3.0,13.0,54.0,87.0
SS-X,13.0,33.0,45.0,34.0,5.0
Scrum100k,0.0,11.0,25.0,46.0,80.0
Scrum10k,4.0,9.0,21.0,45.0,82.0
Scrum1k,4.0,9.0,21.0,52.0,67.0
WA_Fn-UseC_-HR-Employee-Attrition,0.0,12.0,24.0,44.0,79.0
WA_Fn-UseC_-Telco-Customer-Churn,23.0,21.0,11.0,36.0,56.0
Wine_quality,0.0,7.0,31.0,43.0,83.0
X264_AllMeasurements,18.0,19.0,26.0,71.0,3.0
accessories,0.0,8.0,20.0,25.0,83.0
all_players,7.0,10.0,7.0,31.0,77.0
auto93,22.0,28.0,17.0,60.0,87.0
billing10k,4.0,11.0,37.0,34.0,69.0
coc1000,0.0,3.0,7.0,38.0,95.0
dataset120,2.0,11.0,29.0,36.0,72.0
dataset600,5.0,11.0,16.0,17.0,94.0
dconvert,26.0,46.0,16.0,17.0,38.0
deeparch,21.0,10.0,12.0,31.0,63.0
dress-up,2.0,22.0,37.0,44.0,74.0
exastencils,4.0,17.0,24.0,46.0,69.0
home_data_for_ml_course,4.0,7.0,25.0,32.0,81.0
javagc,37.0,31.0,22.0,61.0,21.0
nasa93dem,84.0,78.0,77.0,83.0,87.0
player_statistics_cleaned_final,79.0,81.0,81.0,88.0,98.0
pom3a,2.0,3.0,19.0,48.0,81.0
pom3b,1.0,8.0,16.0,68.0,86.0
pom3c,0.0,4.0,26.0,52.0,92.0
pom3d,1.0,0.0,16.0,38.0,97.0
redis,0.0,3.0,17.0,38.0,92.0
rs-6d-c3_obj1,16.0,57.0,34.0,23.0,40.0
rs-6d-c3_obj2,41.0,10.0,51.0,41.0,37.0
socks,35.0,9.0,28.0,59.0,21.0
sol-6d-c2-obj1,16.0,20.0,16.0,61.0,39.0
storm,36.0,24.0,21.0,13.0,60.0
student_dropout,98.0,98.0,76.0,60.0,57.0
wallpaper,61.0,50.0,53.0,56.0,45.0
wc+rs-3d-c4-obj1,73.0,56.0,43.0,47.0,58.0
wc+sol-3d-c4-obj1,68.0,65.0,56.0,67.0,56.0
wc+wc-3d-c4-obj1,60.0,74.0,55.0,63.0,62.0
wc-6d-c1-obj1,9.0,21.0,10.0,12.0,77.0
x264,16.0,15.0,19.0,34.0,59.0
xomo_flight,5.0,1.0,20.0,56.0,88.0
xomo_ground,6.0,5.0,13.0,39.0,83.0
xomo_osp,2.0,2.0,24.0,63.0,80.0
xomo_osp2,1.0,6.0,20.0,53.0,87.0
